Office,Agent,Date,UW BF,UW NB
Pomona,rafaelr,8/27/25,300,0
Phone Sales,abrahamd,8/27/25,175,1
Phone Sales,sandrav,8/27/25,185,1
National City,ariasj,8/27/25,201.62,1
Escondido,avelazquez,8/27/25,200.12,1
National City,kcoronado,8/27/25,164.85,1
Palmdale,williamg,8/27/25,145,1
Walnut Park,walter,8/27/25,299.64,1
Baldwin Park,andresm,8/27/25,71,1
Van Buren,ivanra,8/27/25,200,1
Glendora,hugod,8/27/25,198,1
Phone Sales,jholguin99,8/27/25,59,1
El Monte,marisolr,8/26/25,191.12,0
Bakersfield,dianaj,8/26/25,289,0
Escondido,karymes,8/26/25,400.57,1
San Ysidro,axelv,8/26/25,1090.68,3
Atlantic,celenep,8/26/25,650,1
Fontana,diannah,8/26/25,600,0
Santa Ana,gloriaf,8/26/25,577.58,1
Phone Sales,fmontesjr,8/26/25,457.94,1
Pico 2,wnolasco,8/26/25,299.97,0
8th Street,yvonnef,8/26/25,240,0
Customer Service,marielam,8/26/25,300,0
Bristol,alexanderm,8/26/25,180,0
Fontana 2,yocelinee,8/26/25,467.29,1
Fontana 2,mramos,8/26/25,260,0
San Pedro,kevinpax,8/26/25,746.35,1
Bristol,gorellana,8/26/25,600,1
Pomona,rafaelr,8/26/25,405,1
Lynwood,marinaag,8/26/25,474.14,2
La Puente,alejandrara,8/26/25,436.16,2
Fontana 2,georgel,8/26/25,418.55,2
Bristol,isela,8/26/25,77.95,1
Pico Rivera,aaronz,8/26/25,100,1
Vista,alonsod,8/26/25,298.23,1
Phone Sales,rodrigoca,8/26/25,185,1
Phone Sales,amoore,8/26/25,150,1
Lincoln,samanthav,8/26/25,150.07,1
Glendora,hollmana,8/26/25,68,1
Phone Sales,abrahamd,8/26/25,199,1
Walnut Park,walter,8/26/25,1,1
Palmdale,andreaam,8/26/25,22.41,1
Pico 2,rivasc,8/26/25,103,1
8th Street,gracielam,8/26/25,98.55,1
Ontario,luzg,8/26/25,101.05,1
Ontario,cynthiar,8/26/25,100,1
Escondido,avelazquez,8/26/25,300.45,1
Bakersfield,arletten,8/26/25,292.13,1
Pico Rivera,jorgema,8/26/25,1133,3
Walnut Park,carlosme,8/26/25,18.8,1
Pomona,rickyc,8/26/25,130,1
Victorville,mariavel,8/25/25,450,1
Vista,ecortez,8/25/25,600,0
Glendora,hugod,8/25/25,542.98,1
Ontario,scarosales,8/25/25,199.53,0
Phone Sales,rodrigoca,8/25/25,534,2
La Puente,fabianc,8/25/25,229.65,1
Van Buren,dianamu,8/25/25,200,0
Van Buren,ivanra,8/25/25,300,0
Fontana,creyes,8/25/25,486.41,1
Walnut Park,carlosme,8/25/25,1861.09,5
Fontana 2,georgel,8/25/25,517.6,1
Escondido,avelazquez,8/25/25,250,0
Victorville,alexiaz,8/25/25,525,1
Lynwood,josemun,8/25/25,300,0
Glendora,josefinah,8/25/25,757,2
Palmdale,andreaam,8/25/25,275,0
El Monte,ruthp,8/25/25,300,0
Glendora,hollmana,8/25/25,577.01,0
Fontana,make,8/25/25,491.38,1
8th Street,gracielam,8/25/25,341.97,1
Atlantic,celenep,8/25/25,100,0
Bakersfield,dianaj,8/25/25,353.92,2
San Pedro,fredm,8/25/25,719.91,2
Phone Sales,amoore,8/25/25,201,2
Ontario,cynthiar,8/25/25,253,2
National City,kcoronado,8/25/25,725.66,3
Customer Service,ugarcia,8/25/25,291.22,1
Santa Ana,andreae,8/25/25,25,1
Arleta,aduran,8/25/25,318.05,2
Fontana 2,yocelinee,8/25/25,515.03,3
Bristol,alexanderm,8/25/25,93.76,1
Atlantic,katherinem,8/25/25,243.63,1
San Pedro,kevinpax,8/25/25,555.12,2
Arleta,guillermoc,8/25/25,376.47,3
Huntington Park,marianara,8/25/25,152.53,2
Pico Rivera,aaronz,8/25/25,200,1
Pomona,rickyc,8/25/25,1504.89,3
Bakersfield,arletten,8/25/25,520.39,2
Santa Ana,melissace,8/25/25,553.06,3
Baldwin Park,andresm,8/25/25,255.82,2
San Ysidro,alejandrohuer,8/25/25,673.5,4
Van Nuys,edgargr,8/25/25,659.23,3
Glendora,antoniot,8/25/25,360,2
Santa Ana,gloriaf,8/25/25,15,1
El Monte,rosalba,8/25/25,424.01,3
Bristol,gorellana,8/25/25,350,1
Fontana,erickp,8/25/25,483.46,2
Lincoln,samanthav,8/25/25,150,1
Palmdale,williamg,8/25/25,45,1
Ontario,sofiaga,8/25/25,337.76,1
Out of State,irerih,8/25/25,100,1
Lynwood,marinaag,8/25/25,75.43,1
Phone Sales,lromero,8/25/25,0,1
North Hollywood,fgutierrez,8/25/25,195.98,1
Fontana 2,mramos,8/25/25,226.43,1
Arleta,davidc,8/25/25,89.94,1
Pico 2,wnolasco,8/25/25,283,1
Anaheim,gcastellanos,8/25/25,200.44,1
Phone Sales,ismaelv,8/25/25,88.01,1
Anaheim,oscarg,8/25/25,1.32,1
Pico Rivera,jorgema,8/25/25,295.45,1
Phone Sales,edwards,8/24/25,3622.49,1
Glendora,hollmana,8/24/25,102.01,1
Phone Sales,amoore,8/24/25,1,1
Oxnard,acarreon,8/23/25,150,0
Pico 2,rivasc,8/23/25,300,0
Walnut Park,carlosme,8/23/25,194,0
Fontana 2,mramos,8/23/25,628.09,2
Glendora,hugod,8/23/25,93,0
North Hollywood,fgutierrez,8/23/25,150.21,0
Pico,yeseniamar,8/23/25,670,1
Fontana 2,georgel,8/23/25,472.77,2
Fontana,diannah,8/23/25,387.71,2
Out of State,irerih,8/23/25,300,1
Ontario,luzg,8/23/25,436.57,2
8th Street,yvonnef,8/23/25,211,1
Phone Sales,sandrav,8/23/25,350,1
Van Nuys,edgargr,8/23/25,100.29,1
San Ysidro,axelv,8/23/25,150.41,1
National City,kcoronado,8/23/25,739.5,3
8th Street,gracielam,8/23/25,15,1
Glendora,josefinah,8/23/25,215,1
Escondido,karymes,8/23/25,1,1
Bakersfield,dianaj,8/23/25,225.45,1
Fontana,creyes,8/23/25,368.18,1
San Pedro,kevinpax,8/23/25,250,1
Phone Sales,barbieb,8/23/25,293,1
San Ysidro,axelv,8/22/25,343.48,1
Phone Sales,barbieb,8/22/25,96,0
Baldwin Park,andresm,8/22/25,625.8,2
Commercial,jesusf,8/22/25,300,0
El Monte,ruthp,8/22/25,300,0
Glendora,hollmana,8/22/25,327.11,1
Santa Ana,gloriaf,8/22/25,214.12,0
Ontario,sofiaga,8/22/25,100,0
Lincoln,samanthav,8/22/25,100,1
Fontana 2,georgel,8/22/25,185.74,1
Commercial,navillel,8/22/25,1299.87,3
Escondido,avelazquez,8/22/25,987.06,5
Palmdale,andreaam,8/22/25,224.98,1
Phone Sales,abrahamd,8/22/25,50,1
National City,kcoronado,8/22/25,211.12,1
National City,ariasj,8/22/25,231.17,2
Palmdale,landih,8/22/25,437.48,2
Fontana 2,yocelinee,8/22/25,192.84,2
Bristol,dianamu,8/22/25,174.41,1
Lynwood,marinaag,8/22/25,436.9,2
Vista,alonsod,8/22/25,109.79,1
Lincoln,antonios,8/22/25,443.37,3
Santa Ana,andreae,8/22/25,75.88,1
Commercial,carlosmi,8/22/25,1305,1
Commercial,juang,8/22/25,250,1
Phone Sales,rodrigoca,8/22/25,216,1
Pico Rivera,jorgema,8/22/25,159.3,1
Atlantic,katherinem,8/22/25,255,1
La Puente,fabianc,8/22/25,165,1
Santa Ana,melissace,8/22/25,186.99,1
Santa Ana,melissace,8/21/25,240,0
La Puente,alejandrara,8/21/25,300,0
Arleta,davidc,8/21/25,250,0
Ontario,scarosales,8/21/25,455,2
Fontana 2,yocelinee,8/21/25,753.86,4
San Ysidro,alejandrohuer,8/21/25,248.72,1
Pomona,yazmin,8/21/25,288,1
National City,kcoronado,8/21/25,190.56,1
Phone Sales,abrahamd,8/21/25,575,1
Lincoln,antonios,8/21/25,249.15,1
Commercial,jesusf,8/21/25,220.82,1
Commercial,carlosmi,8/21/25,1468,2
Fontana,make,8/21/25,171.49,1
Glendora,hollmana,8/21/25,242,1
Arleta,aduran,8/21/25,163.72,1
Fontana 2,mramos,8/21/25,237.46,1
Van Buren,isela,8/21/25,217.39,1
La Puente,fabianc,8/21/25,275,1
Vista,pedrom,8/21/25,204.81,1
Van Buren,almag,8/21/25,200,1
El Monte,ruthp,8/21/25,250,1
Fontana,erickp,8/21/25,36.91,1
Huntington Park,marianara,8/21/25,25,1
Phone Sales,barbieb,8/21/25,210,1
Commercial,karina,8/21/25,244,1
Pico Rivera,aaronz,8/21/25,225,1
Ontario,cynthiar,8/21/25,350,1
San Ysidro,axelv,8/21/25,201,1
Ontario,sofiaga,8/21/25,209.86,1
Lynwood,josemun,8/21/25,175,1
Canoga Park,davidc,8/21/25,175,1
Escondido,avelazquez,8/21/25,130.7,1
Baldwin Park,andresm,8/21/25,215.37,1
Phone Sales,amoore,8/21/25,495,1
Out of State,irerih,8/21/25,475,1
Escondido,karymes,8/20/25,313.22,0
Vista,pedrom,8/20/25,475.62,1
San Ysidro,alejandrohuer,8/20/25,527,1
Baldwin Park,victordiaz,8/20/25,300,0
Santa Ana,melissace,8/20/25,180,0
Palmdale,andreaam,8/20/25,498.03,2
Canoga Park,luisro,8/20/25,223.35,1
Glendora,luisi,8/20/25,156.03,1
Bakersfield,dianaj,8/20/25,166.77,1
Commercial,juang,8/20/25,116,1
National City,kcoronado,8/20/25,351.08,2
Ontario,cynthiar,8/20/25,300,1
Phone Sales,edwards,8/20/25,268.69,1
Glendora,hollmana,8/20/25,473.33,2
Ontario,scarosales,8/20/25,20,1
Commercial,carlosmi,8/20/25,516.85,1
Fontana 2,yocelinee,8/20/25,389.25,2
Fontana,stephaniev,8/20/25,208.09,1
Baldwin Park,andresm,8/20/25,108.09,1
Van Nuys,edgargr,8/20/25,200.03,1
Commercial,karina,8/20/25,276.23,1
Phone Sales,ismaelv,8/20/25,125,1
Escondido,avelazquez,8/20/25,154.69,1
North Hollywood,fgutierrez,8/20/25,280.74,1
Pico 2,rivasc,8/19/25,245,0
La Puente,fabianc,8/19/25,165,1
Vista,pedrom,8/19/25,474.7,1
Glendora,luisi,8/19/25,251.09,2
San Ysidro,axelv,8/19/25,229.9,1
Phone Sales,amoore,8/19/25,350,2
Van Buren,almag,8/19/25,251,1
Fontana,diannah,8/19/25,200,1
Phone Sales,rodrigoca,8/19/25,462,2
Bakersfield,dianaj,8/19/25,492.32,2
Fontana 2,georgel,8/19/25,152.29,1
Ontario,sofiaga,8/19/25,156.32,1
Santa Ana,andreae,8/19/25,150,1
La Puente,alejandrara,8/19/25,400.67,1
San Ysidro,alejandrohuer,8/19/25,225,1
Fontana,make,8/19/25,124.76,1
North Hollywood,fgutierrez,8/19/25,199.6,1
North Hollywood,fgutierrez,8/18/25,150.49,0
Canoga Park,luisro,8/18/25,189.31,0
La Puente,alejandrara,8/18/25,743.4,3
Vista,alonsod,8/18/25,172.57,1
Ontario,sofiaga,8/18/25,178.87,1
Bakersfield,dianaj,8/18/25,48.81,1
Fontana,diannah,8/18/25,210.31,2
Baldwin Park,victordiaz,8/18/25,582.88,2
Vista,pedrom,8/18/25,302.22,1
Arleta,davidc,8/18/25,175,1
Phone Sales,barbieb,8/18/25,45,1
Out of State,irerih,8/18/25,355,1
Fontana 2,yocelinee,8/18/25,237.39,1
Escondido,karymes,8/18/25,225,1
Van Buren,ivanra,8/18/25,347.95,1
Fontana,stephaniev,8/18/25,408.62,2
Commercial,juang,8/18/25,335.06,1
Arleta,guillermoc,8/18/25,26.36,1
Van Nuys,edgargr,8/18/25,200.68,1
Fontana 2,yocelinee,8/17/25,228.69,1
Phone Sales,irvinm,8/16/25,145.01,0
Arleta,davidc,8/16/25,300,0
Canoga Park,luisro,8/16/25,176.22,1
Ontario,sofiaga,8/16/25,682.21,3
Santa Ana,andreae,8/16/25,200.16,1
San Pedro,ruthp,8/16/25,275,1
Victorville,mariselaz,8/16/25,257.71,2
Fontana 2,yocelinee,8/16/25,335.11,1
National City,msanchez,8/16/25,175.12,1
Fontana,make,8/16/25,77.79,1
Fontana 2,georgel,8/15/25,275,1
Commercial,jesusf,8/15/25,742,2
San Pedro,ruthp,8/15/25,225.3,1
Vista,pedrom,8/15/25,142.06,1
Baldwin Park,andresm,8/15/25,206.24,1
Fontana 2,yocelinee,8/15/25,40.22,1
Palmdale,andreaam,8/15/25,53.79,1
North Hollywood,fgutierrez,8/15/25,201.24,1
Ontario,luzg,8/15/25,61.73,1
Palmdale,andreaam,8/14/25,299.56,0
Vista,alonsod,8/14/25,172.95,1
Fontana,diannah,8/14/25,500.72,1
El Monte,rosalba,8/14/25,128.6,1
San Pedro,ruthp,8/14/25,281.82,1
Vista,pedrom,8/14/25,106,1
Ontario,sofiaga,8/14/25,220.95,1
San Ysidro,alejandrohuer,8/14/25,234.12,1
Fontana 2,yocelinee,8/14/25,190.24,1
Walnut Park,walter,8/14/25,1000.34,1
Glendora,luisi,8/14/25,150,1
San Ysidro,axelv,8/13/25,300,0
El Monte,rosalba,8/13/25,638.13,2
Escondido,karymes,8/13/25,205.52,1
Glendora,hollmana,8/12/25,47.45,1
